"","annee_naissance","age","emploi","revenu","genre","citoyennete","ethnie","minorite","education","religion","reseau_social","residence","naissance_pays_residence","cohabitation","droit_vote","province","naissance_province_residence","classe_sociale","classe_sociale_parents","langue","province_naissance_parents","pays_naissance_parents","climat_social","covid_satisfaction","covid_soin","covid_gestion","covid_inquietude","covid_jeune","covid_politiques","immigration_ouverture","immigration_syrie","climat_economie","transition_energetique_taxes","climat_impact","confiance_police","securite_quartier","securite_gouvernement","securite_immigration","securite_frontieres","immigration_quotas","minorites_partis","corruption","corruption_participation","corruption_evaluation_partis","mondialisation","economie_sociotropique","economie_egotropique","economie_satisfaction","economie_preoccupation","economie_criteres","economieCANADA_confiance","economieFRANCE_confiance","immigrationCANADA_confiance","immigrationFRANCE_confiance","deficit","representation_minorites","enjeux_chomage","enjeux_environnement","enjeux_immigration","enjeux_economie","enjeux_education","enjeux_sante","importance_immigration","importance_ecologie","inquietude_attentats","ideologie","satisfaction_democracie","satisfaction_gouvernement","institutions_democratiques","vote_demonstration","confiance_ChefEtat","altruisme_politiques","education_civique","ecoles","comprehension_elites","importance_vote","importance_representation","disproportion_electorale","partis_votes","votes_objectif","votes_delais","reedition_compte","importance_chef","interet_politique","interet_politiqueUS","connaissances_politiqueUS","engagement_politique","proche_parti","importance_traits","trait_integrite","trait_leadership","trait_competence","trait_empathie","representation_partis","mode_scrutin","changement_scrutin","vote_nationaliste","integration_localite","parti_liberal","parti_conservateur","ndp","bloc_quebecois","parti_vert","source_information","reseausociaux_cause","medias_traditionnels","consultation_sondage1","consultation_sondageCANADA","consultation_sondageFRANCE","principale_source","engagement_reseauxsociaux","abonnements_personnalites","frequence_utilisation","inscription_reseauxsociaux","contact_information","plateforme","couverture_influence","medias_neutralite","influence_medias","biais_medias","chaines_independance","niveau_information","effet_debats","importance_debatsTV","confiance_contenuRS","confiance_TVRadio","confiance_presseecrite","site_parti","like_parti","sophistication_etatsunis","sophistication_freeland","sophistication_legault","sophistication_macron","sophistication_pence","sophistication_singh","participation","vote_quebec2018_CAQ","vote_quebec2018_PQ","vote_quebec2018_PLQ","vote_quebec2018_QS","vote_quebec2018_vert","vote_quebec2018_autre","vote_quebec2018_bulletinnul","vote_quebec2018_pasvote","vote_US","vote_habitude","vote_memeparti","vote_france_enmarche","vote_france_republicains","vote_france_verts","vote_france_PS","vote_france_RN","vote_france_insoumise","vote_canada_liberal","vote_canada_conservateur","vote_canada_npd","vote_canada_bloc","vote_canada_vert","vote_canada_autre","vote_quebec_CAQ","vote_quebec_PQ","vote_quebec_PLQ","vote_quebec_QS","vote_quebec_vert","vote_quebec_autre","anciens_presidents","vote_strategique","aucune_preference","preference_parti","satisfaction_modescrutin","vote_chancesfavoris","importance_competence","motivation","premier_choix","strategie_vote2","autrechoix_frequence","refus_voteCANADA","refus_voteFRANCE","ideologie_VD","vote_nationaliste_VD","participation_VD","vote_quebec2018_CAQ_VD","vote_quebec2018_PQ_VD","vote_quebec2018_PLQ_VD","vote_quebec2018_QS_VD","vote_quebec2018_vert_VD","vote_quebec2018_autre_VD","vote_quebec2018_bulletinnul_VD","vote_quebec2018_pasvote_VD","vote_US_VD","vote_france_enmarche_VD","vote_france_republicains_VD","vote_france_verts_VD","vote_france_PS_VD","vote_france_RN_VD","vote_france_insoumise_VD","vote_canada_liberal_VD","vote_canada_conservateur_VD","vote_canada_npd_VD","vote_canada_bloc_VD","vote_canada_vert_VD","vote_canada_autre_VD","vote_quebec_CAQ_VD","vote_quebec_PQ_VD","vote_quebec_PLQ_VD","vote_quebec_QS_VD","vote_quebec_vert_VD","vote_quebec_autre_VD","anciens_presidents_VD","vote_strategique_VD","changement_scrutin_VD","age_categories"
"1",1934,86,"À la retraite","2.$30,000 à $60,000",NA,"France",NA,1,"3.Universitaire premier cycle","4.Pas important du tout","oui, quelques-uns","Canada",2,2,1,"QC",2,"classe moyenne",1,1,"non","non","détérioré","3.Peu satisfait",2,"3.Peu satisfait",5,NA,"Les politiques sont adéquates, mais l'économie souffre","2.Un peu plus d'ouverture","5.Plutôt en désaccord","1.Fortement d’accord","4.Assez en désaccord","1.Fortement d’accord","3.Ni en accord, ni en désaccord","1.Fortement d’accord","2.Plutôt d’accord",NA,"2.Plutôt d’accord","3.Ni en accord, ni en désaccord","Je ne sais pas","2.Assez répandue",9,5,"3.Ni bonne ni mauvaise opinion","détériorée","resté stable","3.Peu satisfaisant","1.Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Non, aucun",NA,"Non, aucun",NA,1,"3.Ni plus ni moins importante",6,1,4,5,2,3,5,"1.Beaucoup",NA,8,"3.Peu satisfait","4.Pas du tout satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","2.Peu confiance","1.Pas du tout","3.Ni en accord, ni en désaccord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord",NA,NA,"2.Plutôt d’accord","1.Fortement d’accord",10,6,"4.Peu intéressé",5,"Manifestations, pétitions et vote","Oui",8,3,4,2,1,"3.Pas vraiment","3.Neutre",NA,1,5,0,2,4,8,8,"Télévision",NA,"1.Beaucoup","Non",NA,NA,NA,"Pas du tout","Oui, de tous bords politiques","2.Rarement",1,"2.Rarement","Autre","2.Assez","1.Fortement d’accord",NA,"1.Fortement d’accord","3.Ni en accord, ni en désaccord","3.Pas très informé",0,8,"2.Un peu confiance","2.Un peu confiance","2.Un peu confiance","Oui","Oui",0,0,1,1,0,NA,1,0,1,0,0,0,0,0,0,NA,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,"Hollande",5,"Choisir l'option la moins pire","Voter pour ce parti quand même","2.Satisfait","J'irais certainement voter",10,"L'idéologie","Oui",NA,"5.À aucune élection","Parti libéral",NA,8,1,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,4,5,NA,"7.75 ans et plus"
"2",1934,86,"À la retraite",NA,"2.Femme","Canada","Français",2,"2.Secondaire / Collégiales / CEGEP / Lycée / DEP","3.Pas très important","non aucun","Canada",1,NA,1,"QC",1,"classe moyenne",1,1,NA,"oui","détérioré","2.Satisfait",1,"2.Satisfait",5,"Bloc Québécois","Les politiques sont adéquates, permettent à l'économie de rester stable","3.Neutre","4.Assez en désaccord","2.Plutôt d’accord","4.Assez en désaccord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord",NA,"2.Plutôt d’accord","2.Plutôt d’accord","NDP",NA,7,NA,"2.Plutôt bonne opinion",NA,"resté stable","2.Assez satisfaisant","2.Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Bloc Québécois",NA,"Bloc Québécois",NA,2,"3.Ni plus ni moins importante",5,6,2,1,4,3,NA,"2.Un peu",NA,5,"2.Assez satisfait","2.Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, totalement","2.Peu confiance","3.Moyennement","4.Assez en désaccord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord",5,10,"2.Intéressé",6,"Manifestations, pétitions et vote","Oui",8,1,NA,NA,NA,"2.De manière satisfaisante","3.Neutre","6.Ne s'applique pas",10,10,0,3,3,10,5,"Télévision","Je n'utilise pas les réseaux sociaux","1.Beaucoup","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","1.Jamais",NA,NA,NA,"3.Peu","1.Fortement d’accord",NA,"6.Fortement en désaccord","5.Plutôt en désaccord","2.Plutôt informé",0,0,NA,"3.Moyennement confiance","3.Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,NA,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,NA,10,NA,NA,"2.Satisfait","J'irais certainement voter",10,"L'idéologie","Oui",NA,"5.À aucune élection","Parti libéral",NA,5,10,1,0,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,NA,10,NA,"7.75 ans et plus"
"3",1936,84,"À la retraite",NA,"2.Femme","Canada",NA,2,"3.Universitaire premier cycle","3.Pas très important","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",2,1,"oui","oui","détérioré","3.Peu satisfait",2,"3.Peu satisfait",5,"Bloc Québécois","Les politiques sont adéquates, permettent à l'économie de rester stable","4.Moins d'ouverture","2.Plutôt d’accord","2.Plutôt d’accord","4.Assez en désaccord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","2.Plutôt d’accord",NA,"2.Plutôt d’accord","1.Fortement d’accord","Parti libéral","1.Très répandue",7,0,"3.Ni bonne ni mauvaise opinion","détériorée","resté stable","2.Assez satisfaisant","1.Grandement","Je vais davantage m’intéresser aux politiques proposées","Bloc Québécois",NA,"Bloc Québécois",NA,1,"3.Ni plus ni moins importante",6,4,5,2,3,1,8,"2.Un peu",NA,5,"3.Peu satisfait","2.Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","4.Moyennement confiance","3.Moyennement","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","2.Plutôt d’accord","4.Assez en désaccord","2.Plutôt d’accord","2.Plutôt d’accord",8,8,"1.Très intéressé",6,"Le vote","Oui",7,3,1,2,4,"2.De manière satisfaisante","2.Satisfait","1.Tout à fait en faveur",6,10,8,4,3,6,2,"Télévision","Non","1.Beaucoup","Oui","Parti libéral",NA,"journaux en ligne-papier","Pas du tout","Non","1.Jamais",NA,NA,NA,"2.Assez","2.Plutôt d’accord",NA,"4.Assez en désaccord","2.Plutôt d’accord","2.Plutôt informé",3,7,NA,"3.Moyennement confiance","3.Moyennement confiance","Oui",NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,"Macron",8,"Choisir l'option la moins pire","Voter pour ce parti quand même","4.Pas satisfait","J'irais certainement voter",7,"Le candidat","Oui",NA,"1.Toutes les élections","Parti conservateur",NA,5,6,1,1,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,5,8,1,"7.75 ans et plus"
"4",1937,83,"À la retraite","6.Je ne sais pas / Préfère ne pas répondre)","1.Homme","France",NA,2,"4.Universitaire deuxième cycle et plus","1.Très important","oui, quelques-uns","France",1,2,1,NA,NA,"classe moyenne",1,NA,"oui","oui","resté stable","2.Satisfait",1,"2.Satisfait",3,NA,"Les politiques sont adéquates, mais l'économie souffre","3.Neutre","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord",NA,"3.Ni en accord, ni en désaccord","3.Ni en accord, ni en désaccord",NA,NA,3,5,"3.Ni bonne ni mauvaise opinion","détériorée","resté stable","2.Assez satisfaisant","2.Moyennement","Je vais davantage m’intéresser aux politiques proposées",NA,"République en marche",NA,"République en marche",NA,NA,NA,NA,NA,NA,NA,NA,3,"1.Beaucoup","2.Plutôt inquiet",4,"2.Assez satisfait","2.Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","4.Moyennement confiance","3.Moyennement",NA,"2.Plutôt d’accord","5.Plutôt en désaccord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord",5,NA,"2.Intéressé",7,"Le vote","Oui",5,NA,NA,NA,NA,"2.De manière satisfaisante","2.Satisfait","3.Sans opinion, neutre",NA,8,NA,NA,NA,NA,NA,"Journaux","Non","1.Beaucoup","Non",NA,NA,"journaux en ligne-papier","Oui","Non","1.Jamais",NA,NA,NA,"3.Peu","3.Ni en accord, ni en désaccord",NA,"3.Ni en accord, ni en désaccord","4.Assez en désaccord","1.Bien informé",5,8,NA,"3.Moyennement confiance","3.Moyennement confiance","Oui","Oui",1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"Oui, je vote toujours",NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Choisir l'option la moins pire","Voter pour ce parti quand même","2.Satisfait","Je ne sais pas si je voterais",8,"Le candidat","Oui",NA,NA,NA,"RN",4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,"7.75 ans et plus"
"5",1939,81,"À la retraite","1.moins de $30,000","1.Homme","Canada","Autre",2,"3.Universitaire premier cycle","1.Très important","oui, beaucoup","Canada",2,NA,1,"QC",2,"classe moyenne",NA,2,"non","non","détérioré","2.Satisfait",NA,"2.Satisfait",5,"Parti libéral",NA,NA,NA,"2.Plutôt d’accord",NA,"1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord",NA,"2.Plutôt d’accord","3.Ni en accord, ni en désaccord","Parti libéral",NA,NA,4,"4.Plutôt mauvaise opinion","détériorée","resté stable",NA,"1.Grandement",NA,"Parti libéral",NA,"Parti libéral",NA,1,NA,6,2,1,4,5,3,4,NA,NA,NA,"3.Peu satisfait","2.Moyennement satisfait",NA,"Oui, totalement","5.Beaucoup confiance",NA,NA,"1.Fortement d’accord",NA,"1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord",5,4,"2.Intéressé",5,NA,NA,7,2,3,1,4,"5.Ne s'applique pas","2.Satisfait",NA,0,5,8,1,NA,0,NA,"Journaux","Oui, plusieurs fois","2.Assez","Non",NA,NA,NA,"Un peu",NA,"4.Moins d'une heure/jour",2,"3.Souvent","Twitter","3.Peu","1.Fortement d’accord",NA,"1.Fortement d’accord","3.Ni en accord, ni en désaccord","2.Plutôt informé",0,4,"2.Un peu confiance","2.Un peu confiance","2.Un peu confiance","Oui","Oui",NA,NA,1,1,NA,1,1,0,0,1,0,0,0,0,0,NA,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,NA,5,"Choisir l'option la moins pire","Voter pour ce parti quand même","2.Satisfait","J'irais certainement voter",5,"L'idéologie","Oui",NA,"5.À aucune élection","Bloc Québécois",NA,NA,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,NA,5,NA,"7.75 ans et plus"
"6",1940,80,"À la retraite","1.moins de $30,000","2.Femme","Canada","Français",2,"4.Universitaire deuxième cycle et plus","2.Assez important","oui, beaucoup","Canada",1,2,1,"QC",1,"classe supérieure",1,1,"oui","oui","détérioré","2.Satisfait",1,"2.Satisfait",5,"Parti libéral","Les politiques sont mauvaises","1.Beaucoup plus d'ouverture","4.Assez en désaccord","1.Fortement d’accord","3.Ni en accord, ni en désaccord","1.Fortement d’accord","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","1.Fortement d’accord",NA,"1.Fortement d’accord","5.Plutôt en désaccord","Parti libéral","1.Très répandue",6,0,"3.Ni bonne ni mauvaise opinion","détériorée","resté stable","3.Peu satisfaisant","2.Moyennement",NA,"Parti libéral",NA,"Parti libéral",NA,1,"2.Plus importante",1,6,5,4,2,3,10,"1.Beaucoup",NA,10,"2.Assez satisfait","2.Moyennement satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Oui, mais de moins en moins","4.Moyennement confiance","3.Moyennement","6.Fortement en désaccord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","5.Plutôt en désaccord","5.Plutôt en désaccord","1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord",8,5,"2.Intéressé",2,"Le vote","Oui",10,3,2,1,4,"2.De manière satisfaisante","2.Satisfait","3.Sans opinion, neutre",0,5,2,1,1,0,1,"Télévision","Non","3.Peu","Non",NA,NA,"Réseaux sociaux","Un peu","Oui, ceux qui partagent les opinions",NA,NA,NA,NA,"2.Assez","1.Fortement d’accord",NA,"1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt informé",0,2,"3.Moyennement confiance","3.Moyennement confiance",NA,"Oui","Oui",1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,NA,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,10,"Choisir l'option la moins pire","Voter pour ce parti quand même","2.Satisfait","J'irais certainement voter",10,"Le candidat","Oui",NA,"1.Toutes les élections","Bloc Québécois",NA,10,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,10,3,"7.75 ans et plus"
"7",1940,80,NA,"4.$90,000 à 110,000","1.Homme","France",NA,2,"2.Secondaire / Collégiales / CEGEP / Lycée / DEP","3.Pas très important","non aucun","France",1,2,1,NA,NA,"classe moyenne",1,1,"oui","oui","détérioré","2.Satisfait",1,"2.Satisfait",5,"Parti libéral","Les politiques sont adéquates, mais l'économie souffre","4.Moins d'ouverture","3.Ni en accord, ni en désaccord","2.Plutôt d’accord","4.Assez en désaccord","2.Plutôt d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord",NA,"1.Fortement d’accord","2.Plutôt d’accord","Parti libéral","3.Peu répandue",6,4,"3.Ni bonne ni mauvaise opinion","détériorée","resté stable","2.Assez satisfaisant","1.Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,"République en marche",NA,"RN",2,"3.Ni plus ni moins importante",NA,NA,NA,NA,NA,NA,8,"2.Un peu","2.Plutôt inquiet",8,"3.Peu satisfait","2.Moyennement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Non, pas envers l’élite politique mais la démocratie seulement","4.Moyennement confiance","2.Peu","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord",10,8,"1.Très intéressé",5,"Le vote","Oui",9,NA,NA,NA,NA,"3.Pas vraiment","2.Satisfait","2.Plutôt en faveur",NA,10,NA,NA,NA,NA,NA,"Télévision","Je n'utilise pas les réseaux sociaux","1.Beaucoup","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","1.Jamais",NA,NA,NA,"2.Assez","1.Fortement d’accord",NA,"5.Plutôt en désaccord","4.Assez en désaccord","2.Plutôt informé",0,0,NA,"3.Moyennement confiance","4.Beaucoup confiance","Oui","Oui",0,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"Oui, je vote toujours",1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Gaulle",8,"Choisir l'option la moins pire","Voter pour ce parti quand même","2.Satisfait","J'irais certainement voter",10,"Le candidat","Oui",NA,"1.Toutes les élections",NA,"France insoumise",8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8,2,"7.75 ans et plus"
"8",1941,79,"À la retraite","4.$90,000 à 110,000","1.Homme","Canada","Français",2,"3.Universitaire premier cycle","1.Très important","oui, beaucoup","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui",NA,"resté stable","1.Très satisfait",2,"1.Très satisfait",7,"Bloc Québécois","Les politiques sont idéales","2.Un peu plus d'ouverture","3.Ni en accord, ni en désaccord","1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord",NA,"1.Fortement d’accord","3.Ni en accord, ni en désaccord","Parti libéral",NA,1,NA,"2.Plutôt bonne opinion",NA,NA,NA,NA,NA,"Parti libéral",NA,"Parti libéral",NA,NA,NA,6,2,4,5,3,NA,7,"1.Beaucoup",NA,5,"1.Très satisfait","2.Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques",NA,"5.Beaucoup confiance","5.Beaucoup","1.Fortement d’accord","1.Fortement d’accord","3.Ni en accord, ni en désaccord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord",10,8,NA,NA,"Le vote","Non",NA,NA,NA,NA,NA,NA,NA,NA,8,10,6,NA,NA,9,NA,"Télévision","Non","4.Pas du tout","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","1.Jamais",NA,NA,"Autre","3.Peu","3.Ni en accord, ni en désaccord",NA,"3.Ni en accord, ni en désaccord","3.Ni en accord, ni en désaccord","1.Bien informé",0,8,NA,"4.Beaucoup confiance","3.Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,2,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,"Macron",6,"Choisir l'option la moins pire","Voter pour ce parti quand même","1.Tout à fait satisfait","J'irais certainement voter",8,"L'idéologie","Oui",NA,"5.À aucune élection","Parti conservateur",NA,5,8,1,0,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,5,6,NA,"7.75 ans et plus"
"9",1941,79,"À la retraite","5.Plus de $110,000","2.Femme","Canada","Français",2,"3.Universitaire premier cycle","4.Pas important du tout","non aucun","Canada",1,2,1,"QC",1,"classe supérieure",2,1,"oui","oui","resté stable","2.Satisfait",2,"2.Satisfait",7,"Parti libéral","Les politiques sont adéquates, mais l'économie souffre","3.Neutre","4.Assez en désaccord","2.Plutôt d’accord","4.Assez en désaccord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord","2.Plutôt d’accord",NA,"2.Plutôt d’accord","3.Ni en accord, ni en désaccord","NDP","3.Peu répandue",1,10,"3.Ni bonne ni mauvaise opinion","détériorée","resté stable","2.Assez satisfaisant","2.Moyennement","Je vais davantage m’intéresser aux politiques proposées","Parti libéral",NA,"Parti libéral",NA,2,"2.Plus importante",4,5,2,6,1,3,5,"2.Un peu",NA,5,"1.Très satisfait",NA,"Je ne m’y intéresse que pour certaines politiques publiques","Oui, totalement","3.Confiance","3.Moyennement","4.Assez en désaccord","1.Fortement d’accord","4.Assez en désaccord","1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt d’accord","4.Assez en désaccord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord",10,8,"2.Intéressé",7,"Manifestations, pétitions et vote","Oui",8,2,3,4,1,"2.De manière satisfaisante","2.Satisfait","4.Plutôt en défaveur",0,10,7,6,5,6,5,"Journaux","Non","1.Beaucoup","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","3.Plusieurs fois par semaine",3,"1.Jamais",NA,"1.Beaucoup","2.Plutôt d’accord",NA,"4.Assez en désaccord","2.Plutôt d’accord","2.Plutôt informé",0,10,"1.Pas confiance","4.Beaucoup confiance","3.Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,"Chirac",10,"Choisir l'option la moins pire","Voter pour le parti adverse en espérant passer un message","1.Tout à fait satisfait","J'irais certainement voter",10,"Le candidat","Oui",NA,"4.Une élection sur quatre ou plus","Non, aucun",NA,5,0,1,1,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,2,10,4,"7.75 ans et plus"
"10",1941,79,NA,"1.moins de $30,000","2.Femme","Canada","Français",2,"2.Secondaire / Collégiales / CEGEP / Lycée / DEP","2.Assez important","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","détérioré","2.Satisfait",1,"2.Satisfait",6,NA,"Les politiques sont adéquates, permettent à l'économie de rester stable",NA,"3.Ni en accord, ni en désaccord","2.Plutôt d’accord","3.Ni en accord, ni en désaccord","1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord",NA,"2.Plutôt d’accord","3.Ni en accord, ni en désaccord","Parti libéral","1.Très répandue",6,6,"4.Plutôt mauvaise opinion","détériorée","resté stable","3.Peu satisfaisant","2.Moyennement","Je vais faire un bilan des politiques mises en place pendant le mandat ","Non, aucun",NA,"Parti libéral",NA,2,"2.Plus importante",NA,NA,NA,NA,NA,NA,5,"1.Beaucoup",NA,4,"2.Assez satisfait","2.Moyennement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Oui, totalement","2.Peu confiance","2.Peu","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord","1.Fortement d’accord","1.Fortement d’accord","2.Plutôt d’accord","2.Plutôt d’accord","2.Plutôt d’accord","1.Fortement d’accord",8,9,"1.Très intéressé",6,"Le vote","Oui",7,NA,NA,NA,NA,NA,NA,"2.Plutôt en faveur",4,5,6,0,3,6,5,"Télévision","Oui, une fois","1.Beaucoup","Oui","Parti libéral",NA,"journaux en ligne-papier","Pas du tout","Oui, de tous bords politiques","2.Rarement",2,"2.Rarement","Autre","2.Assez","1.Fortement d’accord",NA,"3.Ni en accord, ni en désaccord","2.Plutôt d’accord","2.Plutôt informé",1,8,"1.Pas confiance","2.Un peu confiance","3.Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,"De Gaulle",6,"Ne pas voter","Ne pas voter","2.Satisfait","J'irais certainement voter",8,"Le candidat","Oui",NA,"5.À aucune élection","Parti conservateur",NA,4,4,1,1,0,0,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,1,6,2,"7.75 ans et plus"
