"","year","age","s_id","cohort","pref_defence","pref_childcare"
"1",2000,39,"efc003","1960-1964",0,NA
"2",2000,74,"efc003","1925-1929",NA,NA
"3",2000,40,"efc003","1960-1964",0,1
"4",2000,48,"efc003","1950-1954",1,0
"5",2000,47,"efc003","1950-1954",1,NA
"6",2000,37,"efc003","1960-1964",NA,NA
"7",2000,24,"efc003","1975-1979",1,NA
"8",2000,40,"efc003","1960-1964",NA,NA
"9",2000,27,"efc003","1970-1974",0,1
"10",2000,37,"efc003","1960-1964",0,1
"11",2000,19,"efc003","1980-1984",NA,NA
"12",2000,22,"efc003","1975-1979",0,1
"13",2000,65,"efc003","1935-1939",NA,NA
"14",2000,23,"efc003","1975-1979",0,0
"15",2000,39,"efc003","1960-1964",0,1
"16",2000,47,"efc003","1950-1954",0,NA
"17",2000,28,"efc003","1970-1974",0,NA
"18",2000,82,"efc003","1915-1919",NA,NA
"19",2000,57,"efc003","1940-1944",1,1
"20",2000,37,"efc003","1960-1964",NA,NA
"21",2000,49,"efc003","1950-1954",NA,1
"22",2000,69,"efc003","1930-1934",1,NA
"23",2000,36,"efc003","1960-1964",1,1
"24",2000,27,"efc003","1970-1974",0,0
"25",2000,40,"efc003","1960-1964",0,1
"26",2000,48,"efc003","1950-1954",NA,NA
"27",2000,22,"efc003","1975-1979",NA,NA
"28",2000,43,"efc003","1955-1959",NA,1
"29",2000,58,"efc003","1940-1944",1,1
"30",2000,39,"efc003","1960-1964",NA,0
"31",2000,20,"efc003","1980-1984",0,1
"32",2000,57,"efc003","1940-1944",1,NA
"33",2000,46,"efc003","1950-1954",0,0
"34",2000,28,"efc003","1970-1974",0,NA
"35",2000,27,"efc003","1970-1974",NA,1
"36",2000,40,"efc003","1960-1964",1,0
"37",2000,70,"efc003","1930-1934",NA,NA
"38",2000,73,"efc003","1925-1929",0,0
"39",2000,35,"efc003","1965-1969",0,1
"40",2000,23,"efc003","1975-1979",0,1
"41",2000,32,"efc003","1965-1969",NA,NA
"42",2000,48,"efc003","1950-1954",NA,0
"43",2000,43,"efc003","1955-1959",NA,1
"44",2000,38,"efc003","1960-1964",1,0
"45",2000,49,"efc003","1950-1954",NA,NA
"46",2000,39,"efc003","1960-1964",1,0
"47",2000,27,"efc003","1970-1974",NA,0
"48",2000,25,"efc003","1975-1979",0,1
"49",2000,41,"efc003","1955-1959",NA,NA
"50",2000,70,"efc003","1930-1934",1,1
"51",2000,57,"efc003","1940-1944",1,1
"52",2000,34,"efc003","1965-1969",1,0
"53",2000,62,"efc003","1935-1939",1,0
"54",2000,32,"efc003","1965-1969",1,NA
"55",2000,61,"efc003","1935-1939",NA,0
"56",2000,44,"efc003","1955-1959",0,0
"57",2000,60,"efc003","1940-1944",1,1
"58",2000,73,"efc003","1925-1929",0,1
"59",2000,30,"efc003","1970-1974",NA,1
"60",2000,35,"efc003","1965-1969",NA,NA
"61",2000,29,"efc003","1970-1974",NA,1
"62",2000,27,"efc003","1970-1974",NA,1
"63",2000,38,"efc003","1960-1964",1,1
"64",2000,51,"efc003","1945-1949",NA,0
"65",2000,62,"efc003","1935-1939",NA,NA
"66",2000,35,"efc003","1965-1969",NA,1
"67",2000,18,"efc003","1980-1984",NA,1
"68",2000,37,"efc003","1960-1964",NA,NA
"69",2000,44,"efc003","1955-1959",0,1
"70",2000,21,"efc003","1975-1979",NA,NA
"71",2000,55,"efc003","1945-1949",1,1
"72",2000,44,"efc003","1955-1959",0,0
"73",2000,33,"efc003","1965-1969",0,0
"74",2000,47,"efc003","1950-1954",0,1
"75",2000,38,"efc003","1960-1964",0,NA
"76",2000,68,"efc003","1930-1934",1,0
"77",2000,52,"efc003","1945-1949",0,1
"78",2000,44,"efc003","1955-1959",0,NA
"79",2000,29,"efc003","1970-1974",0,1
"80",2000,21,"efc003","1975-1979",0,1
"81",2000,45,"efc003","1955-1959",NA,NA
"82",2000,38,"efc003","1960-1964",1,0
"83",2000,58,"efc003","1940-1944",NA,1
"84",2000,44,"efc003","1955-1959",0,NA
"85",2000,60,"efc003","1940-1944",1,1
"86",2000,41,"efc003","1955-1959",0,0
"87",2000,18,"efc003","1980-1984",NA,1
"88",2000,32,"efc003","1965-1969",NA,NA
"89",2000,38,"efc003","1960-1964",0,NA
"90",2000,24,"efc003","1975-1979",1,1
"91",2000,25,"efc003","1975-1979",NA,NA
"92",2000,21,"efc003","1975-1979",NA,NA
"93",2000,35,"efc003","1965-1969",NA,1
"94",2000,26,"efc003","1970-1974",1,0
"95",2000,26,"efc003","1970-1974",0,1
"96",2000,18,"efc003","1980-1984",NA,NA
"97",2000,24,"efc003","1975-1979",NA,NA
"98",2000,43,"efc003","1955-1959",1,1
"99",2000,19,"efc003","1980-1984",0,NA
"100",2000,24,"efc003","1975-1979",0,0
"101",2000,62,"efc003","1935-1939",NA,0
"102",2000,44,"efc003","1955-1959",0,NA
"103",2000,37,"efc003","1960-1964",NA,0
"104",2000,20,"efc003","1980-1984",NA,1
"105",2000,22,"efc003","1975-1979",0,1
"106",2000,28,"efc003","1970-1974",NA,1
"107",2000,47,"efc003","1950-1954",NA,NA
"108",2000,46,"efc003","1950-1954",NA,NA
"109",2000,37,"efc003","1960-1964",0,1
"110",2000,37,"efc003","1960-1964",1,NA
"111",2000,70,"efc003","1930-1934",1,1
"112",2000,30,"efc003","1970-1974",0,1
"113",2000,22,"efc003","1975-1979",0,NA
"114",2000,41,"efc003","1955-1959",0,1
"115",2000,48,"efc003","1950-1954",NA,NA
"116",2000,41,"efc003","1955-1959",0,1
"117",2000,47,"efc003","1950-1954",0,1
"118",2000,19,"efc003","1980-1984",1,1
"119",2000,36,"efc003","1960-1964",0,NA
"120",2000,60,"efc003","1940-1944",1,NA
"121",2000,44,"efc003","1955-1959",NA,0
"122",2000,39,"efc003","1960-1964",0,1
"123",2000,20,"efc003","1980-1984",0,0
"124",2000,62,"efc003","1935-1939",1,NA
"125",2000,58,"efc003","1940-1944",0,0
"126",2000,68,"efc003","1930-1934",NA,0
"127",2000,45,"efc003","1955-1959",0,NA
"128",2000,44,"efc003","1955-1959",NA,NA
"129",2000,29,"efc003","1970-1974",NA,NA
"130",2000,42,"efc003","1955-1959",0,0
"131",2000,36,"efc003","1960-1964",NA,1
"132",2000,49,"efc003","1950-1954",1,1
"133",2000,65,"efc003","1935-1939",0,0
"134",2000,48,"efc003","1950-1954",0,NA
"135",2000,42,"efc003","1955-1959",1,1
"136",2000,80,"efc003","1920-1924",1,NA
"137",2000,18,"efc003","1980-1984",NA,0
"138",2000,65,"efc003","1935-1939",1,NA
"139",2000,65,"efc003","1935-1939",NA,NA
"140",2000,29,"efc003","1970-1974",NA,1
"141",2000,72,"efc003","1925-1929",0,1
"142",2000,34,"efc003","1965-1969",0,0
"143",2000,64,"efc003","1935-1939",NA,NA
"144",2000,65,"efc003","1935-1939",NA,1
"145",2000,28,"efc003","1970-1974",0,1
"146",2000,71,"efc003","1925-1929",NA,NA
"147",2000,36,"efc003","1960-1964",NA,NA
"148",2000,67,"efc003","1930-1934",NA,NA
"149",2000,42,"efc003","1955-1959",0,0
"150",2000,27,"efc003","1970-1974",NA,NA
"151",2000,36,"efc003","1960-1964",0,NA
"152",2000,32,"efc003","1965-1969",0,NA
"153",2000,79,"efc003","1920-1924",1,1
"154",2000,48,"efc003","1950-1954",NA,1
"155",2000,37,"efc003","1960-1964",0,NA
"156",2000,46,"efc003","1950-1954",1,0
"157",2000,40,"efc003","1960-1964",1,1
"158",2000,24,"efc003","1975-1979",0,1
"159",2000,59,"efc003","1940-1944",0,0
"160",2000,31,"efc003","1965-1969",0,NA
"161",2000,29,"efc003","1970-1974",0,1
"162",2000,20,"efc003","1980-1984",NA,NA
"163",2000,62,"efc003","1935-1939",0,0
"164",2000,31,"efc003","1965-1969",NA,1
"165",2000,56,"efc003","1940-1944",1,0
"166",2000,80,"efc003","1920-1924",NA,0
"167",2000,22,"efc003","1975-1979",NA,NA
"168",2000,66,"efc003","1930-1934",0,0
"169",2000,44,"efc003","1955-1959",0,0
"170",2000,85,"efc003","1915-1919",NA,0
"171",2000,44,"efc003","1955-1959",1,0
"172",2000,53,"efc003","1945-1949",1,1
"173",2000,67,"efc003","1930-1934",NA,1
"174",2000,49,"efc003","1950-1954",NA,1
"175",2000,50,"efc003","1950-1954",1,NA
"176",2000,22,"efc003","1975-1979",0,0
"177",2000,64,"efc003","1935-1939",NA,NA
"178",2000,19,"efc003","1980-1984",NA,NA
"179",2000,43,"efc003","1955-1959",1,NA
"180",2000,37,"efc003","1960-1964",0,NA
"181",2000,22,"efc003","1975-1979",NA,NA
"182",2000,37,"efc003","1960-1964",0,0
"183",2000,53,"efc003","1945-1949",NA,0
"184",2000,79,"efc003","1920-1924",0,NA
"185",2000,50,"efc003","1950-1954",NA,NA
"186",2000,58,"efc003","1940-1944",NA,1
"187",2000,25,"efc003","1975-1979",0,NA
"188",2000,46,"efc003","1950-1954",0,1
"189",2000,82,"efc003","1915-1919",0,0
"190",2000,48,"efc003","1950-1954",0,1
"191",2000,21,"efc003","1975-1979",NA,NA
"192",2000,24,"efc003","1975-1979",0,NA
"193",2000,67,"efc003","1930-1934",0,1
"194",2000,76,"efc003","1920-1924",0,NA
"195",2000,55,"efc003","1945-1949",1,NA
"196",2000,30,"efc003","1970-1974",0,NA
"197",2000,65,"efc003","1935-1939",1,NA
"198",2000,65,"efc003","1935-1939",NA,1
"199",2000,28,"efc003","1970-1974",1,0
"200",2000,30,"efc003","1970-1974",0,1
"201",2000,66,"efc003","1930-1934",1,0
"202",2000,59,"efc003","1940-1944",1,NA
"203",2000,39,"efc003","1960-1964",0,0
"204",2000,29,"efc003","1970-1974",0,0
"205",2000,24,"efc003","1975-1979",NA,0
"206",2000,68,"efc003","1930-1934",NA,1
"207",2000,20,"efc003","1980-1984",0,0
"208",2000,65,"efc003","1935-1939",0,1
"209",2000,59,"efc003","1940-1944",1,NA
"210",2000,34,"efc003","1965-1969",0,NA
"211",2000,47,"efc003","1950-1954",1,1
"212",2000,37,"efc003","1960-1964",NA,0
"213",2000,48,"efc003","1950-1954",0,0
"214",2000,59,"efc003","1940-1944",1,NA
"215",2000,27,"efc003","1970-1974",1,0
"216",2000,27,"efc003","1970-1974",0,1
"217",2000,53,"efc003","1945-1949",0,0
"218",2000,70,"efc003","1930-1934",NA,0
"219",2000,46,"efc003","1950-1954",NA,1
"220",2000,35,"efc003","1965-1969",1,1
"221",2000,35,"efc003","1965-1969",NA,1
"222",2000,71,"efc003","1925-1929",NA,NA
"223",2000,50,"efc003","1950-1954",1,NA
"224",2000,47,"efc003","1950-1954",NA,1
"225",2000,47,"efc003","1950-1954",NA,NA
"226",2000,45,"efc003","1955-1959",1,1
"227",2000,28,"efc003","1970-1974",1,0
"228",2000,58,"efc003","1940-1944",1,NA
"229",2000,29,"efc003","1970-1974",0,1
"230",2000,38,"efc003","1960-1964",0,1
"231",2000,25,"efc003","1975-1979",0,0
"232",2000,29,"efc003","1970-1974",NA,NA
"233",2000,48,"efc003","1950-1954",1,0
"234",2000,30,"efc003","1970-1974",0,1
"235",2000,24,"efc003","1975-1979",NA,NA
"236",2000,42,"efc003","1955-1959",0,0
"237",2000,53,"efc003","1945-1949",0,0
"238",2000,44,"efc003","1955-1959",NA,0
"239",2000,25,"efc003","1975-1979",0,0
"240",2000,58,"efc003","1940-1944",0,0
