"","annee_naissance","age","emploi","revenu","genre","citoyennete","ethnie","minorite","education","religion","reseau_social","residence","naissance_pays_residence","cohabitation","droit_vote","province","naissance_province_residence","classe_sociale","classe_sociale_parents","langue","province_naissance_parents","pays_naissance_parents","climat_social","covid_satisfaction","covid_soin","covid_gestion","covid_inquietude","covid_jeune","covid_politiques","immigration_ouverture","immigration_syrie","climat_economie","transition_energetique_taxes","climat_impact","confiance_police","securite_quartier","securite_gouvernement","securite_immigration","securite_frontieres","immigration_quotas","minorites_partis","corruption","corruption_participation","corruption_evaluation_partis","mondialisation","economie_sociotropique","economie_egotropique","economie_satisfaction","economie_preoccupation","economie_criteres","economieCANADA_confiance","economieFRANCE_confiance","immigrationCANADA_confiance","immigrationFRANCE_confiance","deficit","representation_minorites","enjeux_chomage","enjeux_environnement","enjeux_immigration","enjeux_economie","enjeux_education","enjeux_sante","importance_immigration","importance_ecologie","inquietude_attentats","ideologie","satisfaction_democracie","satisfaction_gouvernement","institutions_democratiques","vote_demonstration","confiance_ChefEtat","altruisme_politiques","education_civique","ecoles","comprehension_elites","importance_vote","importance_representation","disproportion_electorale","partis_votes","votes_objectif","votes_delais","reedition_compte","importance_chef","interet_politique","interet_politiqueUS","connaissances_politiqueUS","engagement_politique","proche_parti","importance_traits","trait_integrite","trait_leadership","trait_competence","trait_empathie","representation_partis","mode_scrutin","changement_scrutin","vote_nationaliste","integration_localite","parti_liberal","parti_conservateur","ndp","bloc_quebecois","parti_vert","source_information","reseausociaux_cause","medias_traditionnels","consultation_sondage1","consultation_sondageCANADA","consultation_sondageFRANCE","principale_source","engagement_reseauxsociaux","abonnements_personnalites","frequence_utilisation","inscription_reseauxsociaux","contact_information","plateforme","couverture_influence","medias_neutralite","influence_medias","biais_medias","chaines_independance","niveau_information","effet_debats","importance_debatsTV","confiance_contenuRS","confiance_TVRadio","confiance_presseecrite","site_parti","like_parti","sophistication_etatsunis","sophistication_freeland","sophistication_legault","sophistication_macron","sophistication_pence","sophistication_singh","participation","vote_quebec2018_CAQ","vote_quebec2018_PQ","vote_quebec2018_PLQ","vote_quebec2018_QS","vote_quebec2018_vert","vote_quebec2018_autre","vote_quebec2018_bulletinnul","vote_quebec2018_pasvote","vote_US","vote_habitude","vote_memeparti","vote_france_enmarche","vote_france_republicains","vote_france_verts","vote_france_PS","vote_france_RN","vote_france_insoumise","vote_canada_liberal","vote_canada_conservateur","vote_canada_npd","vote_canada_bloc","vote_canada_vert","vote_canada_autre","vote_quebec_CAQ","vote_quebec_PQ","vote_quebec_PLQ","vote_quebec_QS","vote_quebec_vert","vote_quebec_autre","anciens_presidents","vote_strategique","aucune_preference","preference_parti","satisfaction_modescrutin","vote_chancesfavoris","importance_competence","motivation","premier_choix","strategie_vote2","autrechoix_frequence","refus_voteCANADA","refus_voteFRANCE"
"1",1934,86,"À la retraite","$30,000 à $60,000",NA,"France",NA,1,"universitaire premier cycle","pas important du tout","oui, quelques-uns","Canada",2,2,1,"QC",2,"classe moyenne",1,1,"non","non","détérioré","Peu satisfait",2,"Peu satisfait",5,NA,"Les politiques sont adéquates, mais l'économie souffre","Un peu plus d'ouverture","Plutôt en désaccord","Fortement d’accord","Assez en désaccord","Fortement d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Plutôt d’accord",NA,"Plutôt d’accord","Ni en accord, ni en désaccord","Je ne sais pas","Assez répandue",9,5,"Ni bonne ni mauvaise opinion","détériorée","resté stable","Peu satisfaisant","Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Non, aucun",NA,"Non, aucun",NA,1,"Ni plus ni moins importante",6,1,4,5,2,3,5,"Beaucoup",NA,8,"Peu satisfait","Pas du tout satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","Peu confiance","Pas du tout","Ni en accord, ni en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord",NA,NA,"Plutôt d’accord","Fortement d’accord",10,6,"Peu intéressé",5,"Manifestations, pétitions et vote","Oui",8,3,4,2,1,"Pas vraiment","Neutre",NA,1,5,0,2,4,8,8,"Télévision",NA,"Beaucoup","Non",NA,NA,NA,"Pas du tout","Oui, de tous bords politiques","Rarement",1,"Rarement","Autre","Assez","Fortement d’accord",NA,"Fortement d’accord","Ni en accord, ni en désaccord","Pas très informé",0,8,"Un peu confiance","Un peu confiance","Un peu confiance","Oui","Oui",0,0,1,1,0,NA,1,0,1,0,0,0,0,0,0,NA,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,"Hollande",5,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",10,"L'idéologie","Oui",NA,"À aucune élection","Parti libéral",NA
"2",1934,86,"À la retraite",NA,"Femme","Canada","Français",2,"Secondaire / Collégiales / CEGEP / Lycée / DEP","pas très important","non aucun","Canada",1,NA,1,"QC",1,"classe moyenne",1,1,NA,"oui","détérioré","Satisfait",1,"Satisfait",5,"Bloc Québécois","Les politiques sont adéquates, permettent à l'économie de rester stable","Neutre","Assez en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord",NA,"Plutôt d’accord","Plutôt d’accord","NDP",NA,7,NA,"Plutôt bonne opinion",NA,"resté stable","Assez satisfaisant","Moyennement","Je vais faire un croisement entre les politiques passées et les perspectives proposées","Bloc Québécois",NA,"Bloc Québécois",NA,2,"Ni plus ni moins importante",5,6,2,1,4,3,NA,"Un peu",NA,5,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, totalement","Peu confiance","Moyennement","Assez en désaccord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord",5,10,"Intéressé",6,"Manifestations, pétitions et vote","Oui",8,1,NA,NA,NA,"De manière satisfaisante","Neutre","Ne s'applique pas",10,10,0,3,3,10,5,"Télévision","Je n'utilise pas les réseaux sociaux","Beaucoup","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","Jamais",NA,NA,NA,"Peu","Fortement d’accord",NA,"Fortement en désaccord","Plutôt en désaccord","Plutôt informé",0,0,NA,"Moyennement confiance","Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,NA,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,1,0,0,0,0,NA,10,NA,NA,"Satisfait","J'irais certainement voter",10,"L'idéologie","Oui",NA,"À aucune élection","Parti libéral",NA
"3",1936,84,"À la retraite",NA,"Femme","Canada",NA,2,"universitaire premier cycle","pas très important","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",2,1,"oui","oui","détérioré","Peu satisfait",2,"Peu satisfait",5,"Bloc Québécois","Les politiques sont adéquates, permettent à l'économie de rester stable","Moins d'ouverture","Plutôt d’accord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord",NA,"Plutôt d’accord","Fortement d’accord","Parti libéral","Très répandue",7,0,"Ni bonne ni mauvaise opinion","détériorée","resté stable","Assez satisfaisant","Grandement","Je vais davantage m’intéresser aux politiques proposées","Bloc Québécois",NA,"Bloc Québécois",NA,1,"Ni plus ni moins importante",6,4,5,2,3,1,8,"Un peu",NA,5,"Peu satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","Moyennement confiance","Moyennement","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Plutôt d’accord",8,8,"Très intéressé",6,"Le vote","Oui",7,3,1,2,4,"De manière satisfaisante","Satisfait","Tout à fait en faveur",6,10,8,4,3,6,2,"Télévision","Non","Beaucoup","Oui","Parti libéral",NA,"journaux en ligne-papier","Pas du tout","Non","Jamais",NA,NA,NA,"Assez","Plutôt d’accord",NA,"Assez en désaccord","Plutôt d’accord","Plutôt informé",3,7,NA,"Moyennement confiance","Moyennement confiance","Oui",NA,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,"Macron",8,"Choisir l'option la moins pire","Voter pour ce parti quand même","Pas satisfait","J'irais certainement voter",7,"Le candidat","Oui",NA,"Toutes les élections","Parti conservateur",NA
"4",1937,83,"À la retraite","Je ne sais pas / Préfère ne pas répondre)","Homme","France",NA,2,"universitaire deuxième cycle et plus","Très important","oui, quelques-uns","France",1,2,1,NA,NA,"classe moyenne",1,NA,"oui","oui","resté stable","Satisfait",1,"Satisfait",3,NA,"Les politiques sont adéquates, mais l'économie souffre","Neutre","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord",NA,"Ni en accord, ni en désaccord","Ni en accord, ni en désaccord",NA,NA,3,5,"Ni bonne ni mauvaise opinion","détériorée","resté stable","Assez satisfaisant","Moyennement","Je vais davantage m’intéresser aux politiques proposées",NA,"République en marche",NA,"République en marche",NA,NA,NA,NA,NA,NA,NA,NA,3,"Beaucoup","Plutôt inquiet",4,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques","Oui, mais de moins en moins","Moyennement confiance","Moyennement",NA,"Plutôt d’accord","Plutôt en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord",5,NA,"Intéressé",7,"Le vote","Oui",5,NA,NA,NA,NA,"De manière satisfaisante","Satisfait","Sans opinion, neutre",NA,8,NA,NA,NA,NA,NA,"Journaux","Non","Beaucoup","Non",NA,NA,"journaux en ligne-papier","Oui","Non","Jamais",NA,NA,NA,"Peu","Ni en accord, ni en désaccord",NA,"Ni en accord, ni en désaccord","Assez en désaccord","Bien informé",5,8,NA,"Moyennement confiance","Moyennement confiance","Oui","Oui",1,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"Oui, je vote toujours",NA,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","Je ne sais pas si je voterais",8,"Le candidat","Oui",NA,NA,NA,"RN"
"5",1939,81,"À la retraite","moins de $30,000","Homme","Canada","Autre",2,"universitaire premier cycle","Très important","oui, beaucoup","Canada",2,NA,1,"QC",2,"classe moyenne",NA,2,"non","non","détérioré","Satisfait",NA,"Satisfait",5,"Parti libéral",NA,NA,NA,"Plutôt d’accord",NA,"Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord",NA,"Plutôt d’accord","Ni en accord, ni en désaccord","Parti libéral",NA,NA,4,"Plutôt mauvaise opinion","détériorée","resté stable",NA,"Grandement",NA,"Parti libéral",NA,"Parti libéral",NA,1,NA,6,2,1,4,5,3,4,NA,NA,NA,"Peu satisfait","Moyennement satisfait",NA,"Oui, totalement","Beaucoup confiance",NA,NA,"Fortement d’accord",NA,"Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord",5,4,"Intéressé",5,NA,NA,7,2,3,1,4,"Ne s'applique pas","Satisfait",NA,0,5,8,1,NA,0,NA,"Journaux","Oui, plusieurs fois","Assez","Non",NA,NA,NA,"Un peu",NA,"Moins d'une heure/jour",2,"Souvent","Twitter","Peu","Fortement d’accord",NA,"Fortement d’accord","Ni en accord, ni en désaccord","Plutôt informé",0,4,"Un peu confiance","Un peu confiance","Un peu confiance","Oui","Oui",NA,NA,1,1,NA,1,1,0,0,1,0,0,0,0,0,NA,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,1,0,0,0,NA,5,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",5,"L'idéologie","Oui",NA,"À aucune élection","Bloc Québécois",NA
"6",1940,80,"À la retraite","moins de $30,000","Femme","Canada","Français",2,"universitaire deuxième cycle et plus","assez important","oui, beaucoup","Canada",1,2,1,"QC",1,"classe supérieure",1,1,"oui","oui","détérioré","Satisfait",1,"Satisfait",5,"Parti libéral","Les politiques sont mauvaises","Beaucoup plus d'ouverture","Assez en désaccord","Fortement d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Ni en accord, ni en désaccord","Plutôt d’accord","Fortement d’accord",NA,"Fortement d’accord","Plutôt en désaccord","Parti libéral","Très répandue",6,0,"Ni bonne ni mauvaise opinion","détériorée","resté stable","Peu satisfaisant","Moyennement",NA,"Parti libéral",NA,"Parti libéral",NA,1,"Plus importante",1,6,5,4,2,3,10,"Beaucoup",NA,10,"Assez satisfait","Moyennement satisfait","Je ne m’y intéresse que très peu parce que je ne suis pas intéressé.e par a politique","Oui, mais de moins en moins","Moyennement confiance","Moyennement","Fortement en désaccord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Plutôt en désaccord","Plutôt en désaccord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord",8,5,"Intéressé",2,"Le vote","Oui",10,3,2,1,4,"De manière satisfaisante","Satisfait","Sans opinion, neutre",0,5,2,1,1,0,1,"Télévision","Non","Peu","Non",NA,NA,"Réseaux sociaux","Un peu","Oui, ceux qui partagent les opinions",NA,NA,NA,NA,"Assez","Fortement d’accord",NA,"Fortement d’accord","Plutôt d’accord","Plutôt informé",0,2,"Moyennement confiance","Moyennement confiance",NA,"Oui","Oui",1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,NA,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,NA,10,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",10,"Le candidat","Oui",NA,"Toutes les élections","Bloc Québécois",NA
"7",1940,80,NA,"$90,000 à 110,000","Homme","France",NA,2,"Secondaire / Collégiales / CEGEP / Lycée / DEP","pas très important","non aucun","France",1,2,1,NA,NA,"classe moyenne",1,1,"oui","oui","détérioré","Satisfait",1,"Satisfait",5,"Parti libéral","Les politiques sont adéquates, mais l'économie souffre","Moins d'ouverture","Ni en accord, ni en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord",NA,"Fortement d’accord","Plutôt d’accord","Parti libéral","Peu répandue",6,4,"Ni bonne ni mauvaise opinion","détériorée","resté stable","Assez satisfaisant","Grandement","Je vais faire un croisement entre les politiques passées et les perspectives proposées",NA,"République en marche",NA,"RN",2,"Ni plus ni moins importante",NA,NA,NA,NA,NA,NA,8,"Un peu","Plutôt inquiet",8,"Peu satisfait","Moyennement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Non, pas envers l’élite politique mais la démocratie seulement","Moyennement confiance","Peu","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord",10,8,"Très intéressé",5,"Le vote","Oui",9,NA,NA,NA,NA,"Pas vraiment","Satisfait","Plutôt en faveur",NA,10,NA,NA,NA,NA,NA,"Télévision","Je n'utilise pas les réseaux sociaux","Beaucoup","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","Jamais",NA,NA,NA,"Assez","Fortement d’accord",NA,"Plutôt en désaccord","Assez en désaccord","Plutôt informé",0,0,NA,"Moyennement confiance","Beaucoup confiance","Oui","Oui",0,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,"Oui, je vote toujours",1,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"De Gaulle",8,"Choisir l'option la moins pire","Voter pour ce parti quand même","Satisfait","J'irais certainement voter",10,"Le candidat","Oui",NA,"Toutes les élections",NA,"France insoumise"
"8",1941,79,"À la retraite","$90,000 à 110,000","Homme","Canada","Français",2,"universitaire premier cycle","Très important","oui, beaucoup","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui",NA,"resté stable","Très satisfait",2,"Très satisfait",7,"Bloc Québécois","Les politiques sont idéales","Un peu plus d'ouverture","Ni en accord, ni en désaccord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord",NA,"Fortement d’accord","Ni en accord, ni en désaccord","Parti libéral",NA,1,NA,"Plutôt bonne opinion",NA,NA,NA,NA,NA,"Parti libéral",NA,"Parti libéral",NA,NA,NA,6,2,4,5,3,NA,7,"Beaucoup",NA,5,"Très satisfait","Moyennement satisfait","Je ne m’y intéresse que pour certaines politiques publiques",NA,"Beaucoup confiance","Beaucoup","Fortement d’accord","Fortement d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord",10,8,NA,NA,"Le vote","Non",NA,NA,NA,NA,NA,NA,NA,NA,8,10,6,NA,NA,9,NA,"Télévision","Non","Pas du tout","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","Jamais",NA,NA,"Autre","Peu","Ni en accord, ni en désaccord",NA,"Ni en accord, ni en désaccord","Ni en accord, ni en désaccord","Bien informé",0,8,NA,"Beaucoup confiance","Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,2,"Oui, je vote toujours",1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,"Macron",6,"Choisir l'option la moins pire","Voter pour ce parti quand même","Tout à fait satisfait","J'irais certainement voter",8,"L'idéologie","Oui",NA,"À aucune élection","Parti conservateur",NA
"9",1941,79,"À la retraite","Plus de $110,000","Femme","Canada","Français",2,"universitaire premier cycle","pas important du tout","non aucun","Canada",1,2,1,"QC",1,"classe supérieure",2,1,"oui","oui","resté stable","Satisfait",2,"Satisfait",7,"Parti libéral","Les politiques sont adéquates, mais l'économie souffre","Neutre","Assez en désaccord","Plutôt d’accord","Assez en désaccord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Plutôt d’accord",NA,"Plutôt d’accord","Ni en accord, ni en désaccord","NDP","Peu répandue",1,10,"Ni bonne ni mauvaise opinion","détériorée","resté stable","Assez satisfaisant","Moyennement","Je vais davantage m’intéresser aux politiques proposées","Parti libéral",NA,"Parti libéral",NA,2,"Plus importante",4,5,2,6,1,3,5,"Un peu",NA,5,"Très satisfait",NA,"Je ne m’y intéresse que pour certaines politiques publiques","Oui, totalement","Confiance","Moyennement","Assez en désaccord","Fortement d’accord","Assez en désaccord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Assez en désaccord","Fortement d’accord","Fortement d’accord","Fortement d’accord",10,8,"Intéressé",7,"Manifestations, pétitions et vote","Oui",8,2,3,4,1,"De manière satisfaisante","Satisfait","Plutôt en défaveur",0,10,7,6,5,6,5,"Journaux","Non","Beaucoup","Non",NA,NA,"journaux en ligne-papier","Pas du tout","Non","Plusieurs fois par semaine",3,"Jamais",NA,"Beaucoup","Plutôt d’accord",NA,"Assez en désaccord","Plutôt d’accord","Plutôt informé",0,10,"Pas confiance","Beaucoup confiance","Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,"Chirac",10,"Choisir l'option la moins pire","Voter pour le parti adverse en espérant passer un message","Tout à fait satisfait","J'irais certainement voter",10,"Le candidat","Oui",NA,"Une élection sur quatre ou plus","Non, aucun",NA
"10",1941,79,NA,"moins de $30,000","Femme","Canada","Français",2,"Secondaire / Collégiales / CEGEP / Lycée / DEP","assez important","oui, quelques-uns","Canada",1,2,1,"QC",1,"classe moyenne",1,1,"oui","oui","détérioré","Satisfait",1,"Satisfait",6,NA,"Les politiques sont adéquates, permettent à l'économie de rester stable",NA,"Ni en accord, ni en désaccord","Plutôt d’accord","Ni en accord, ni en désaccord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord",NA,"Plutôt d’accord","Ni en accord, ni en désaccord","Parti libéral","Très répandue",6,6,"Plutôt mauvaise opinion","détériorée","resté stable","Peu satisfaisant","Moyennement","Je vais faire un bilan des politiques mises en place pendant le mandat ","Non, aucun",NA,"Parti libéral",NA,2,"Plus importante",NA,NA,NA,NA,NA,NA,5,"Beaucoup",NA,4,"Assez satisfait","Moyennement satisfait","J’y suis très attaché.e et je m’y intéresse beaucoup","Oui, totalement","Peu confiance","Peu","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord","Fortement d’accord","Fortement d’accord","Plutôt d’accord","Plutôt d’accord","Plutôt d’accord","Fortement d’accord",8,9,"Très intéressé",6,"Le vote","Oui",7,NA,NA,NA,NA,NA,NA,"Plutôt en faveur",4,5,6,0,3,6,5,"Télévision","Oui, une fois","Beaucoup","Oui","Parti libéral",NA,"journaux en ligne-papier","Pas du tout","Oui, de tous bords politiques","Rarement",2,"Rarement","Autre","Assez","Fortement d’accord",NA,"Ni en accord, ni en désaccord","Plutôt d’accord","Plutôt informé",1,8,"Pas confiance","Un peu confiance","Moyennement confiance","Oui","Oui",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,2,"Oui, je vote toujours",2,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1,0,0,0,0,0,"De Gaulle",6,"Ne pas voter","Ne pas voter","Satisfait","J'irais certainement voter",8,"Le candidat","Oui",NA,"À aucune élection","Parti conservateur",NA
